episode_idx,seed,total_reward,n_steps,n_violation_steps,pf_failures,mean_step_ms,lambda,alpha,mean_qc,realised_cost,proj_infeasible_rate,proj_frozen_rate
0,3016983434,-0.194993,288,0,0,5.442,0.000000,0.003000,0.160172,0.000000,0.000000,0.000000
1,248964350,-2.751387,288,0,0,29.121,0.000000,0.003000,0.116433,0.000000,0.000000,0.000000
2,3946316545,-7.232800,288,0,0,29.110,0.000000,0.003000,0.104927,0.000000,0.000000,0.000000
3,1212201789,44.797205,288,28,0,29.866,0.111024,0.003000,0.115128,0.232049,0.000000,0.000000
4,1825082904,41.198717,288,19,0,29.535,0.150395,0.003000,0.117652,0.088742,0.000000,0.000000
5,530610427,40.771266,288,7,0,29.606,0.149306,0.003000,0.128787,0.007821,0.000000,0.000000
6,2817897539,31.876690,288,0,0,29.804,0.144306,0.003000,0.119740,0.000000,0.000000,0.000000
7,587438207,10.167750,288,0,0,29.453,0.139306,0.003000,0.130636,0.000000,0.000000,0.000000
8,2928289006,8.391547,288,28,0,29.532,0.257662,0.003000,0.131209,0.246713,0.000000,0.000000
9,737256302,14.081307,288,12,0,29.685,0.300384,0.003000,0.133012,0.095443,0.000000,0.000000
10,3198154987,37.695831,288,29,0,29.955,0.410018,0.003000,0.145709,0.229269,0.000000,0.000000
11,3912003391,24.157908,288,17,0,29.808,0.441752,0.003000,0.144076,0.073468,0.000000,0.000000
12,1553028230,14.597627,288,30,0,29.664,0.566882,0.003000,0.150822,0.260259,0.000000,0.000000
13,3904571397,39.878562,288,27,0,29.645,0.684929,0.003000,0.126198,0.246093,0.000000,0.000000
14,2183229863,33.206696,288,0,0,29.751,0.679929,0.003000,0.134919,0.000000,0.000000,0.000000
15,1522995234,26.600947,288,25,0,29.912,0.770555,0.003000,0.135967,0.191254,0.000000,0.000000
16,3146261126,34.992889,288,24,0,30.253,0.830601,0.003000,0.133770,0.130090,0.000000,0.000000
17,1878224048,20.658998,288,6,0,30.337,0.840449,0.003000,0.125852,0.029696,0.000000,0.000000
18,1940148069,23.465061,288,0,0,30.453,0.835449,0.003000,0.144865,0.000000,0.000000,0.000000
19,2502645695,15.400896,288,0,0,30.158,0.830480,0.003000,0.138771,0.000063,0.000000,0.000000
20,290319204,15.554892,288,0,0,30.312,0.825480,0.003000,0.127537,0.000000,0.000000,0.000000
21,351555459,-1.746628,288,1,0,30.348,0.820785,0.003000,0.117234,0.000611,0.000000,0.000000
22,4158800825,20.136167,288,0,0,30.388,0.815785,0.003000,0.134448,0.000000,0.000000,0.000000
23,1365116753,12.207701,288,0,0,30.468,0.810785,0.003000,0.130408,0.000000,0.000000,0.000000
24,2497611204,11.112325,288,1,0,30.616,0.807620,0.003000,0.127740,0.003669,0.000000,0.000000
25,2046290708,9.818013,288,10,0,30.859,0.815997,0.003000,0.144061,0.026753,0.000000,0.000000
26,1556223276,24.402585,288,14,0,30.614,0.834919,0.003000,0.165792,0.047845,0.000000,0.000000
27,4211406543,30.826421,288,9,0,30.748,0.851403,0.003000,0.166954,0.042968,0.000000,0.000000
28,493640880,10.901083,288,0,0,30.730,0.846403,0.003000,0.170593,0.000000,0.000000,0.000000
29,1125255379,27.920565,288,2,0,30.891,0.841902,0.003000,0.168770,0.000998,0.000000,0.000000
30,2725264694,15.001573,288,0,0,30.468,0.836902,0.003000,0.177978,0.000000,0.000000,0.000000
31,1610419638,16.022054,288,13,0,30.670,0.846359,0.003000,0.232099,0.028915,0.000000,0.000000
32,268180670,6.599424,288,0,0,30.763,0.841359,0.003000,0.211981,0.000000,0.000000,0.000000
33,3049790797,17.540551,288,1,0,30.832,0.836427,0.003000,0.306286,0.000136,0.000000,0.000000
34,1987654303,17.497392,288,8,0,30.885,0.837404,0.003000,0.250246,0.011954,0.000000,0.000000
35,1570467136,10.920295,288,19,0,30.444,0.872323,0.003000,0.323560,0.079839,0.000000,0.000000
36,4037527742,10.390858,288,0,0,30.768,0.867331,0.003000,0.409654,0.000015,0.000000,0.000000
37,1751484415,19.521699,288,0,0,30.459,0.862331,0.003000,0.346347,0.000000,0.000000,0.000000
38,1087233958,4.663251,288,4,0,30.458,0.860625,0.003000,0.302930,0.006587,0.000000,0.000000
39,3697253557,14.138848,288,19,0,30.742,0.877244,0.003000,0.413231,0.043238,0.000000,0.000000
40,2726621296,15.126854,288,20,0,30.653,0.903033,0.003000,0.430719,0.061578,0.000000,0.000000
41,457190536,19.869996,288,22,0,31.001,0.974551,0.003000,0.464858,0.153037,0.000000,0.000000
42,3971515031,29.704155,288,23,0,30.560,1.038535,0.003000,0.454863,0.137968,0.000000,0.000000
43,1100261522,2.737389,288,0,0,30.251,1.033535,0.003000,0.415525,0.000000,0.000000,0.000000
44,3557059793,22.825433,288,23,0,30.289,1.099132,0.003000,0.352006,0.141195,0.000000,0.000000
45,1191325272,-0.908377,288,0,0,30.613,1.094132,0.003000,0.428841,0.000000,0.000000,0.000000
46,3134573359,0.604501,288,0,0,30.077,1.089132,0.003000,0.344238,0.000000,0.000000,0.000000
47,2090291992,0.623925,288,0,0,30.287,1.084132,0.003000,0.349391,0.000000,0.000000,0.000000
48,1308833403,3.925858,288,0,0,30.588,1.079132,0.003000,0.416936,0.000000,0.000000,0.000000
49,2605099117,-9.304343,288,16,0,30.353,1.104930,0.003000,0.391013,0.061596,0.000000,0.000000
50,3233135729,4.917857,288,15,0,30.348,1.134974,0.003000,0.431520,0.070087,0.000000,0.000000
51,550216501,5.219983,288,20,0,30.160,1.156859,0.003000,0.364769,0.053772,0.000000,0.000000
52,1173647563,25.770176,288,13,0,30.341,1.160709,0.003000,0.483275,0.017700,0.000000,0.000000
53,2119637187,7.256732,288,1,0,30.749,1.155880,0.003000,0.442539,0.000341,0.000000,0.000000
54,3303086101,12.527396,288,0,0,30.369,1.150880,0.003000,0.495960,0.000000,0.000000,0.000000
55,267954911,10.029655,288,0,0,30.193,1.145880,0.003000,0.564054,0.000000,0.000000,0.000000
56,1503391449,20.974920,288,0,0,30.134,1.140880,0.003000,0.429028,0.000000,0.000000,0.000000
57,2045146094,17.411447,288,19,0,30.207,1.182318,0.003000,0.436314,0.092876,0.000000,0.000000
58,277295227,23.635520,288,7,0,30.363,1.182087,0.003000,0.422286,0.009540,0.000000,0.000000
59,104265568,20.790059,288,0,0,30.542,1.177087,0.003000,0.390515,0.000000,0.000000,0.000000
60,2325049220,25.380151,288,0,0,30.190,1.172087,0.003000,0.396222,0.000000,0.000000,0.000000
61,2159029032,21.952872,288,0,0,30.598,1.167087,0.003000,0.423977,0.000000,0.000000,0.000000
62,2672588514,22.925235,288,21,0,30.431,1.204239,0.003000,0.478327,0.084303,0.000000,0.000000
63,3059108900,33.783346,288,17,0,30.921,1.251568,0.003000,0.465265,0.104658,0.000000,0.000000
64,614868142,32.573626,288,22,0,30.660,1.275381,0.003000,0.427570,0.057626,0.000000,0.000000
65,12064678,21.670444,288,16,0,30.692,1.289842,0.003000,0.419941,0.038923,0.000000,0.000000
66,334145268,17.614595,288,10,0,30.685,1.297859,0.003000,0.388830,0.026034,0.000000,0.000000
67,577984215,24.213667,288,18,0,30.317,1.315238,0.003000,0.410075,0.044757,0.000000,0.000000
68,2325489110,27.612926,288,24,0,30.647,1.381047,0.003000,0.398731,0.141619,0.000000,0.000000
69,2859568760,14.367694,288,0,0,30.281,1.376047,0.003000,0.376475,0.000000,0.000000,0.000000
70,728586142,19.572811,288,0,0,30.018,1.371047,0.003000,0.424675,0.000000,0.000000,0.000000
71,526463682,15.590217,288,1,0,30.105,1.366154,0.003000,0.381253,0.000212,0.000000,0.000000
72,832989759,22.548961,288,14,0,30.164,1.421504,0.003000,0.351006,0.120701,0.000000,0.000000
73,836031217,34.433861,288,11,0,30.238,1.437845,0.003000,0.390038,0.042681,0.000000,0.000000
74,3766852861,37.184245,288,13,0,30.400,1.460979,0.003000,0.349699,0.056268,0.000000,0.000000
75,530135653,17.276677,288,7,0,30.066,1.457895,0.003000,0.385661,0.003832,0.000000,0.000000
76,3759937934,18.836835,288,3,0,30.502,1.455057,0.003000,0.330533,0.004325,0.000000,0.000000
77,2988890601,26.167840,288,16,0,30.524,1.472274,0.003000,0.381481,0.044433,0.000000,0.000000
78,1411496333,14.429456,288,9,0,30.301,1.479488,0.003000,0.375357,0.024427,0.000000,0.000000
79,3461569474,11.314703,288,0,0,30.138,1.474488,0.003000,0.312453,0.000000,0.000000,0.000000
80,2325789772,23.176733,288,0,0,30.368,1.469488,0.003000,0.357159,0.000000,0.000000,0.000000
81,789871480,1.976375,288,6,0,30.288,1.476301,0.003000,0.321848,0.023627,0.000000,0.000000
82,1933421410,11.730381,288,7,0,30.049,1.481095,0.003000,0.336886,0.019588,0.000000,0.000000
83,2004023182,13.187707,288,18,0,30.004,1.498744,0.003000,0.363224,0.045298,0.000000,0.000000
84,967900207,14.310953,288,20,0,29.909,1.549105,0.003000,0.332617,0.110722,0.000000,0.000000
85,1885272935,8.602235,288,12,0,29.953,1.567048,0.003000,0.348494,0.045885,0.000000,0.000000
86,30621899,22.202730,288,15,0,30.440,1.587201,0.003000,0.286164,0.050306,0.000000,0.000000
87,127455673,21.654885,288,0,0,30.385,1.582201,0.003000,0.356930,0.000000,0.000000,0.000000
88,3227219627,17.029108,288,0,0,30.358,1.577201,0.003000,0.408619,0.000000,0.000000,0.000000
89,2005764860,31.631151,288,4,0,30.297,1.574714,0.003000,0.370666,0.005026,0.000000,0.000000
90,2455424637,14.103545,288,0,0,30.579,1.569714,0.003000,0.338711,0.000000,0.000000,0.000000
91,3320480260,24.089513,288,14,0,30.507,1.594482,0.003000,0.242440,0.059537,0.000000,0.000000
92,578610072,19.610365,288,0,0,30.337,1.589482,0.003000,0.295043,0.000000,0.000000,0.000000
93,3899921694,7.183368,288,5,0,29.981,1.588493,0.003000,0.352711,0.008020,0.000000,0.000000
94,3163388533,14.057516,288,0,0,30.244,1.583493,0.003000,0.338212,0.000000,0.000000,0.000000
95,2265149502,9.348942,288,23,0,30.805,1.619134,0.003000,0.330586,0.081284,0.000000,0.000000
96,481570180,18.865942,288,0,0,30.483,1.614134,0.003000,0.377380,0.000000,0.000000,0.000000
97,1734362383,9.140256,288,0,0,30.261,1.609134,0.003000,0.361096,0.000000,0.000000,0.000000
98,1403353661,20.373467,288,0,0,30.177,1.604134,0.003000,0.289970,0.000000,0.000000,0.000000
99,357872368,19.727554,288,13,0,30.363,1.647061,0.003000,0.341215,0.095853,0.000000,0.000000
100,3381907799,13.493748,288,0,0,30.649,1.642061,0.003000,0.458770,0.000000,0.000000,0.000000
101,848931792,18.720626,288,16,0,30.164,1.669057,0.003000,0.281116,0.063992,0.000000,0.000000
102,519835158,23.755030,288,26,0,30.409,1.760809,0.003000,0.359853,0.193503,0.000000,0.000000
103,1184353179,21.166932,288,0,0,30.530,1.755809,0.003000,0.421247,0.000000,0.000000,0.000000
104,2227339632,4.782603,288,5,0,30.355,1.753511,0.003000,0.281442,0.005404,0.000000,0.000000
105,236346219,13.805337,288,17,0,30.441,1.783036,0.003000,0.287295,0.069050,0.000000,0.000000
106,3776105309,29.048372,288,6,0,30.422,1.785286,0.003000,0.345032,0.014501,0.000000,0.000000
107,4190387294,31.830649,288,11,0,30.175,1.801214,0.003000,0.281886,0.041856,0.000000,0.000000
108,3646442285,12.721941,288,13,0,30.508,1.829857,0.003000,0.280834,0.067286,0.000000,0.000000
109,1427227787,17.372165,288,3,0,30.506,1.825713,0.003000,0.292117,0.001713,0.000000,0.000000
110,4143349041,14.813835,288,0,0,30.358,1.820713,0.003000,0.273192,0.000000,0.000000,0.000000
111,2990946221,11.154635,288,0,0,30.765,1.815713,0.003000,0.267985,0.000000,0.000000,0.000000
112,2119464803,16.068152,288,13,0,30.467,1.868153,0.003000,0.300191,0.114879,0.000000,0.000000
